Time (s),X (m),Y (m),Velocity (m/s),Acceleration (g),Mass (kg),Thrust (N),Drag (custom),Comment
1.73,0,175.34973702,96.9551284033,-0.668057154895,1.4968536,0.0,-9.80984065922,
1.74,0,176.318632939,96.8895919957,-0.66805716955,1.4968536,0.0,-9.80984087441,
1.75,0,177.286873495,96.8240555866,-0.668057184195,1.4968536,0.0,-9.80984108946,
1.76,0,178.254458687,96.7585191762,-0.66805719883,1.4968536,0.0,-9.80984130436,
1.77,0,179.221388515,96.6929827642,-0.668057213455,1.4968536,0.0,-9.80984151912,
1.78,0,180.187662978,96.6274463509,-0.66805722807,1.4968536,0.0,-9.80984173373,
1.79,0,181.153282078,96.5619099361,-0.668057242676,1.4968536,0.0,-9.8098419482,
1.8,0,182.118245813,96.4963735199,-0.668057257271,1.4968536,0.0,-9.80984216252,
1.81,0,183.082554184,96.4308371022,-0.668057271857,1.4968536,0.0,-9.80984237669,
1.82,0,184.046207191,96.3653006831,-0.668057286432,1.4968536,0.0,-9.80984259072,
1.83,0,185.009204833,96.2997642626,-0.668057300998,1.4968536,0.0,-9.80984280461,
1.84,0,185.971547112,96.2342278407,-0.668057315554,1.4968536,0.0,-9.80984301835,
1.85,0,186.933234026,96.1686914173,-0.6680573301,1.4968536,0.0,-9.80984323194,
1.86,0,187.894265576,96.1031549925,-0.668057344636,1.4968536,0.0,-9.80984344539,
1.87,0,188.854641761,96.0376185663,-0.668057359162,1.4968536,0.0,-9.80984365869,
1.88,0,189.814362583,95.9720821386,-0.668057373678,1.4968536,0.0,-9.80984387185,
1.89,0,190.77342804,95.9065457096,-0.668057388184,1.4968536,0.0,-9.80984408486,
1.9,0,191.731838133,95.8410092791,-0.66805740268,1.4968536,0.0,-9.80984429773,
1.91,0,192.689592861,95.7754728472,-0.668057417167,1.4968536,0.0,-9.80984451045,
1.92,0,193.646692225,95.7099364138,-0.668057431644,1.4968536,0.0,-9.80984472303,
1.93,0,194.603136225,95.6443999791,-0.66805744611,1.4968536,0.0,-9.80984493546,
1.94,0,195.558924861,95.5788635429,-0.668057460567,1.4968536,0.0,-9.80984514774,
1.95,0,196.514058132,95.5133271053,-0.668057475014,1.4968536,0.0,-9.80984535988,
